,Date,Open,High,Low,Close,Adj Close,compound,neg,neu,pos
2078,2015-03-09,127.96,129.57,125.06,127.14,127.14,0.9245,0.019,0.91,0.071
2079,2015-03-10,126.41,127.22,123.8,124.51,124.51,0.968,0.01,0.882,0.108
2080,2015-03-11,124.75,124.77,122.11,122.24,122.24,-0.9253,0.101,0.841,0.058
2081,2015-03-12,122.31,124.9,121.63,124.45,124.45,-0.128,0.07,0.867,0.062
2082,2015-03-13,124.4,125.4,122.58,123.59,123.59,0.34,0.057,0.877,0.066
2083,2015-03-16,123.88,124.95,122.87,124.95,124.95,0.9586,0.011,0.897,0.093
2084,2015-03-17,125.9,127.32,125.65,127.04,127.04,-0.9747,0.168,0.743,0.09
2085,2015-03-18,127.0,129.16,126.37,128.47,128.47,0.9789,0.037,0.856,0.107
2086,2015-03-19,128.75,129.25,127.4,127.5,127.5,0.9372,0.035,0.874,0.091
2087,2015-03-20,128.25,128.4,125.16,125.9,125.9,0.9811,0.019,0.848,0.133
2088,2015-03-23,127.12,127.85,126.52,127.21,127.21,0.8405,0.06,0.844,0.095
2089,2015-03-24,127.23,128.04,126.56,126.69,126.69,0.9748,0.015,0.874,0.11
2090,2015-03-25,126.54,126.82,123.38,123.38,123.38,0.9098,0.031,0.891,0.078
2091,2015-03-26,122.76,124.88,122.6,124.24,124.24,0.9761,0.0,0.903,0.097
2092,2015-03-27,124.57,124.7,122.91,123.25,123.25,0.9397,0.027,0.869,0.103
2093,2015-03-30,124.05,126.4,124.0,126.37,126.37,0.0,0.0,1.0,0.0
2094,2015-03-31,126.09,126.49,124.36,124.43,124.43,0.0,0.0,0.0,0.0
2095,2015-04-01,124.82,125.12,123.1,124.25,124.25,0.9903,0.042,0.813,0.145
2096,2015-04-02,125.03,125.56,124.19,125.32,125.32,0.9931,0.015,0.83,0.155
2097,2015-04-06,124.47,127.51,124.33,127.35,127.35,-0.4821,0.092,0.838,0.07
2098,2015-04-07,127.64,128.12,125.98,126.01,126.01,0.0,0.0,0.0,0.0
2099,2015-04-08,125.85,126.4,124.97,125.6,125.6,0.9404,0.013,0.902,0.085
2100,2015-04-09,125.85,126.58,124.66,126.56,126.56,0.7615,0.053,0.864,0.082
2101,2015-04-10,125.95,127.21,125.26,127.1,127.1,0.9557,0.037,0.869,0.094
2102,2015-04-13,128.37,128.57,126.61,126.85,126.85,0.9422,0.047,0.849,0.104
2103,2015-04-14,127.0,127.29,125.91,126.3,126.3,0.9839,0.048,0.808,0.144
2104,2015-04-15,126.41,127.13,126.01,126.78,126.78,-0.9097,0.106,0.812,0.081
2105,2015-04-16,126.28,127.1,126.11,126.17,126.17,-0.7232,0.067,0.879,0.054
2106,2015-04-17,125.55,126.14,124.46,124.75,124.75,-0.9744,0.119,0.841,0.039
2107,2015-04-20,125.57,128.12,125.17,127.6,127.6,0.8841,0.03,0.891,0.079
2108,2015-04-21,128.1,128.2,126.67,126.91,126.91,0.7311,0.054,0.869,0.077
2109,2015-04-22,126.99,128.87,126.32,128.62,128.62,0.8555,0.032,0.898,0.07
2110,2015-04-23,128.3,130.42,128.14,129.67,129.67,0.296,0.027,0.931,0.042
2111,2015-04-24,130.49,130.63,129.23,130.28,130.28,0.9194,0.037,0.888,0.075
2112,2015-04-27,132.31,133.13,131.15,132.65,132.65,0.9293,0.041,0.872,0.087
2113,2015-04-28,134.46,134.54,129.57,130.56,130.56,0.0772,0.075,0.841,0.083
2114,2015-04-29,130.16,131.59,128.3,128.64,128.64,-0.9217,0.186,0.814,0.0
2115,2015-04-30,128.64,128.64,124.58,125.15,125.15,0.9332,0.045,0.846,0.109
2116,2015-05-01,126.1,130.13,125.3,128.95,128.95,0.7506,0.048,0.884,0.067
2117,2015-05-04,129.5,130.57,128.26,128.7,128.7,0.3182,0.019,0.949,0.031
2118,2015-05-05,128.15,128.45,125.78,125.8,125.8,-0.8869,0.091,0.853,0.055
2119,2015-05-06,126.56,126.75,123.36,125.01,125.01,0.0,0.0,0.0,0.0
2120,2015-05-07,124.77,126.08,124.02,125.26,125.26,0.9851,0.017,0.848,0.135
2121,2015-05-08,126.68,127.62,126.11,127.62,127.62,-0.7681,0.07,0.861,0.068
2122,2015-05-11,127.39,127.56,125.63,126.32,126.32,-0.1027,0.072,0.848,0.08
2123,2015-05-12,125.6,126.88,124.82,125.87,125.87,0.9732,0.03,0.84,0.13
2124,2015-05-13,126.15,127.19,125.87,126.01,126.01,0.9686,0.079,0.758,0.163
2125,2015-05-14,127.41,128.95,127.16,128.95,128.95,0.9632,0.097,0.752,0.151
2126,2015-05-15,129.07,129.49,128.21,128.77,128.77,0.9493,0.029,0.87,0.101
2127,2015-05-18,128.38,130.72,128.36,130.19,130.19,0.9862,0.066,0.771,0.163
2128,2015-05-19,130.69,130.88,129.64,130.07,130.07,-0.7584,0.108,0.804,0.088
2129,2015-05-20,130.0,130.98,129.34,130.06,130.06,0.5647,0.059,0.866,0.074
2130,2015-05-21,130.07,131.63,129.83,131.39,131.39,0.5267,0.013,0.928,0.059
2131,2015-05-22,131.6,132.97,131.4,132.54,132.54,-0.8744,0.162,0.758,0.08
2132,2015-05-26,132.6,132.91,129.12,129.62,129.62,0.8999,0.045,0.865,0.09
2133,2015-05-27,130.34,132.26,130.05,132.04,132.04,0.8394,0.034,0.904,0.062
2134,2015-05-28,131.86,131.95,131.1,131.78,131.78,0.4387,0.113,0.76,0.127
2135,2015-05-29,131.23,131.45,129.9,130.28,130.28,0.8834,0.0,0.849,0.151
2136,2015-06-01,130.28,131.39,130.05,130.54,130.54,0.4588,0.038,0.908,0.054
2137,2015-06-02,129.86,130.66,129.32,129.96,129.96,0.9776,0.026,0.868,0.107
2138,2015-06-03,130.66,130.94,129.9,130.12,130.12,0.994,0.017,0.814,0.169
2139,2015-06-04,129.58,130.58,128.91,129.36,129.36,0.972,0.045,0.844,0.111
2140,2015-06-05,129.5,129.69,128.36,128.65,128.65,0.9163,0.052,0.849,0.099
2141,2015-06-08,128.9,129.21,126.83,127.8,127.8,0.9794,0.02,0.866,0.114
2142,2015-06-09,126.7,128.08,125.62,127.42,127.42,0.3832,0.032,0.919,0.05
2143,2015-06-10,127.92,129.34,127.85,128.88,128.88,0.9022,0.039,0.881,0.08
2144,2015-06-11,129.18,130.18,128.48,128.59,128.59,0.7579,0.034,0.9,0.066
2145,2015-06-12,128.19,128.33,127.11,127.17,127.17,0.982,0.051,0.819,0.13
2146,2015-06-15,126.1,127.24,125.71,126.92,126.92,-0.4854,0.049,0.908,0.043
2147,2015-06-16,127.03,127.85,126.37,127.6,127.6,0.0,0.0,0.0,0.0
2148,2015-06-17,127.72,127.88,126.74,127.3,127.3,0.9814,0.021,0.88,0.099
2149,2015-06-18,127.23,128.31,127.22,127.88,127.88,0.969,0.06,0.81,0.13
2150,2015-06-19,127.71,127.82,126.4,126.6,126.6,0.6705,0.057,0.845,0.099
2151,2015-06-22,127.49,128.06,127.08,127.61,127.61,0.8316,0.058,0.848,0.094
2152,2015-06-23,127.48,127.61,126.88,127.03,127.03,0.7471,0.056,0.861,0.084
2153,2015-06-24,127.21,129.8,127.12,128.11,128.11,0.9246,0.037,0.875,0.087
2154,2015-06-25,128.86,129.2,127.5,127.5,127.5,0.9684,0.054,0.813,0.133
2155,2015-06-26,127.67,127.99,126.51,126.75,126.75,0.9741,0.035,0.848,0.118
2156,2015-06-29,125.46,126.47,124.48,124.53,124.53,0.1901,0.048,0.884,0.068
2157,2015-06-30,125.57,126.12,124.86,125.43,125.43,0.7906,0.0,0.849,0.151
2158,2015-07-01,126.9,126.94,125.99,126.6,126.6,0.9785,0.054,0.81,0.136
2159,2015-07-02,126.43,126.69,125.77,126.44,126.44,0.9872,0.027,0.827,0.146
2160,2015-07-06,124.94,126.23,124.85,126.0,126.0,0.8882,0.018,0.861,0.122
2161,2015-07-07,125.89,126.15,123.77,125.69,125.69,0.9586,0.04,0.849,0.111
2162,2015-07-08,124.48,124.64,122.54,122.57,122.57,0.975,0.038,0.854,0.108
2163,2015-07-09,123.85,124.06,119.22,120.07,120.07,0.9255,0.039,0.874,0.087
2164,2015-07-10,121.94,123.85,121.21,123.28,123.28,-0.714,0.063,0.913,0.025
2165,2015-07-13,125.03,125.76,124.32,125.66,125.66,-0.128,0.044,0.914,0.042
2166,2015-07-14,126.04,126.37,125.04,125.61,125.61,0.2382,0.069,0.861,0.069
2167,2015-07-15,125.72,127.15,125.58,126.82,126.82,0.6369,0.031,0.908,0.062
2168,2015-07-16,127.74,128.57,127.35,128.51,128.51,0.9646,0.02,0.895,0.085
2169,2015-07-17,129.08,129.62,128.31,129.62,129.62,0.995,0.0,0.817,0.183
2170,2015-07-20,130.97,132.97,130.7,132.07,132.07,0.8897,0.041,0.869,0.09
